application,regions,batch,runtime_ns
sha256-fpga,4,1,43315223
sha256-fpga,4,1,45153369
sha256-fpga,4,1,187046299
sha256-fpga,4,1,44199492
sha256-fpga,4,1,213359166
sha256-fpga,4,1,47228478
sha256-fpga,4,1,73984948
sha256-fpga,4,1,250603992
sha256-fpga,4,1,253106507
sha256-fpga,4,1,73222053
sha256-fpga,4,1,80236638
sha256-fpga,4,1,275189361
sha256-fpga,4,1,277983598
sha256-fpga,4,1,106457477
sha256-fpga,4,1,110689000
sha256-fpga,4,1,176253191
sha256-fpga,4,1,147693972
sha256-fpga,4,1,143906266
sha256-fpga,4,1,178254803
sha256-fpga,4,1,75939850
sha256-fpga,4,1,206584021
sha256-fpga,4,1,107388313
sha256-fpga,4,1,114045398
sha256-fpga,4,1,214316213
sha256-fpga,4,1,139772877
sha256-fpga,4,1,141249813
sha256-fpga,4,1,239211892
sha256-fpga,4,1,209441199
sha256-fpga,4,1,172915231
sha256-fpga,4,1,240582486
sha256-fpga,4,2,74625842
sha256-fpga,4,2,43194476
sha256-fpga,4,2,41647107
sha256-fpga,4,2,104694167
sha256-fpga,4,2,41172466
sha256-fpga,4,2,104911249
sha256-fpga,4,2,72322139
sha256-fpga,4,2,106433096
sha256-fpga,4,2,138557672
sha256-fpga,4,2,138914181
sha256-fpga,4,2,70868379
sha256-fpga,4,2,41259724
sha256-fpga,4,2,72712583
sha256-fpga,4,2,173416446
sha256-fpga,4,2,140987373
sha256-fpga,4,2,175828526
sha256-fpga,4,2,140443896
sha256-fpga,4,2,175330139
sha256-fpga,4,2,207609302
sha256-fpga,4,2,271857194
sha256-fpga,4,2,208522566
sha256-fpga,4,2,271570072
sha256-fpga,4,2,171895432
sha256-fpga,4,2,239679976
sha256-fpga,4,2,206146520
sha256-fpga,4,2,208356647
sha256-fpga,4,2,240126653
sha256-fpga,4,2,243022056
sha256-fpga,4,2,105940286
sha256-fpga,4,2,239386287
sha256-fpga,4,3,47737625
sha256-fpga,4,3,188766120
sha256-fpga,4,3,50097628
sha256-fpga,4,3,49653171
sha256-fpga,4,3,79778999
sha256-fpga,4,3,248612028
sha256-fpga,4,3,221481536
sha256-fpga,4,3,253295765
sha256-fpga,4,3,282329539
sha256-fpga,4,3,114161291
sha256-fpga,4,3,282646325
sha256-fpga,4,3,47077187
sha256-fpga,4,3,146363478
sha256-fpga,4,3,149924506
sha256-fpga,4,3,80551135
sha256-fpga,4,3,148250276
sha256-fpga,4,3,83490411
sha256-fpga,4,3,113556009
sha256-fpga,4,3,81962708
sha256-fpga,4,3,178469428
sha256-fpga,4,3,211196680
sha256-fpga,4,3,180656536
sha256-fpga,4,3,114974794
sha256-fpga,4,3,145774822
sha256-fpga,4,3,212406484
sha256-fpga,4,3,115202274
sha256-fpga,4,3,177095317
sha256-fpga,4,3,212546545
sha256-fpga,4,3,245519556
sha256-fpga,4,3,249866766
sha256-fpga,4,4,48046310
sha256-fpga,4,4,49974800
sha256-fpga,4,4,49783426
sha256-fpga,4,4,186467170
sha256-fpga,4,4,115722849
sha256-fpga,4,4,118202183
sha256-fpga,4,4,222079827
sha256-fpga,4,4,187957984
sha256-fpga,4,4,148686315
sha256-fpga,4,4,116624584
sha256-fpga,4,4,151271594
sha256-fpga,4,4,150910033
sha256-fpga,4,4,50197647
sha256-fpga,4,4,83603423
sha256-fpga,4,4,184430188
sha256-fpga,4,4,80508303
sha256-fpga,4,4,83495150
sha256-fpga,4,4,82246666
sha256-fpga,4,4,116497283
sha256-fpga,4,4,216152578
sha256-fpga,4,4,214259650
sha256-fpga,4,4,275270816
sha256-fpga,4,4,246377678
sha256-fpga,4,4,148993698
sha256-fpga,4,4,246708657
sha256-fpga,4,4,215925145
sha256-fpga,4,4,181613105
sha256-fpga,4,4,248818201
sha256-fpga,4,4,277153957
sha256-fpga,4,4,249770122
sha256-fpga,4,5,44189913
sha256-fpga,4,5,182959628
sha256-fpga,4,5,45498606
sha256-fpga,4,5,42698483
sha256-fpga,4,5,45449173
sha256-fpga,4,5,248380660
sha256-fpga,4,5,245329262
sha256-fpga,4,5,72895726
sha256-fpga,4,5,75878560
sha256-fpga,4,5,248648374
sha256-fpga,4,5,181031250
sha256-fpga,4,5,248892258
sha256-fpga,4,5,105344486
sha256-fpga,4,5,108208617
sha256-fpga,4,5,110300493
sha256-fpga,4,5,142266632
sha256-fpga,4,5,139236440
sha256-fpga,4,5,144198460
sha256-fpga,4,5,77841745
sha256-fpga,4,5,175299197
sha256-fpga,4,5,172974550
sha256-fpga,4,5,272014934
sha256-fpga,4,5,76136401
sha256-fpga,4,5,210642587
sha256-fpga,4,5,272959030
sha256-fpga,4,5,205515628
sha256-fpga,4,5,145205537
sha256-fpga,4,5,210910053
sha256-fpga,4,5,208218352
sha256-fpga,4,5,109965762
sha256-fpga,4,6,148297812
sha256-fpga,4,6,44690236
sha256-fpga,4,6,151752557
sha256-fpga,4,6,45991164
sha256-fpga,4,6,219411147
sha256-fpga,4,6,182461195
sha256-fpga,4,6,249207598
sha256-fpga,4,6,185286603
sha256-fpga,4,6,79387124
sha256-fpga,4,6,47067244
sha256-fpga,4,6,46168821
sha256-fpga,4,6,79377643
sha256-fpga,4,6,79855796
sha256-fpga,4,6,250825434
sha256-fpga,4,6,112996796
sha256-fpga,4,6,249809073
sha256-fpga,4,6,146454395
sha256-fpga,4,6,277869364
sha256-fpga,4,6,180866052
sha256-fpga,4,6,76008015
sha256-fpga,4,6,277333735
sha256-fpga,4,6,179551145
sha256-fpga,4,6,210418335
sha256-fpga,4,6,212665959
sha256-fpga,4,6,108555471
sha256-fpga,4,6,111384712
sha256-fpga,4,6,246129319
sha256-fpga,4,6,212587396
sha256-fpga,4,6,112220323
sha256-fpga,4,6,145762137
sha256-fpga,4,7,67280423
sha256-fpga,4,7,39362451
sha256-fpga,4,7,39285996
sha256-fpga,4,7,40859407
sha256-fpga,4,7,172008367
sha256-fpga,4,7,75646991
sha256-fpga,4,7,42077153
sha256-fpga,4,7,100144086
sha256-fpga,4,7,108138186
sha256-fpga,4,7,100142067
sha256-fpga,4,7,69735628
sha256-fpga,4,7,66871773
sha256-fpga,4,7,244483744
sha256-fpga,4,7,142014613
sha256-fpga,4,7,169992610
sha256-fpga,4,7,175975255
sha256-fpga,4,7,202852101
sha256-fpga,4,7,203204839
sha256-fpga,4,7,209390269
sha256-fpga,4,7,236656178
sha256-fpga,4,7,203653638
sha256-fpga,4,7,236211040
sha256-fpga,4,7,270412331
sha256-fpga,4,7,101034610
sha256-fpga,4,7,236899380
sha256-fpga,4,7,133552279
sha256-fpga,4,7,133490788
sha256-fpga,4,7,268367676
sha256-fpga,4,7,135010210
sha256-fpga,4,7,167950836
sha256-fpga,4,8,176649091
sha256-fpga,4,8,41003224
sha256-fpga,4,8,72656813
sha256-fpga,4,8,72501225
sha256-fpga,4,8,103827015
sha256-fpga,4,8,106155047
sha256-fpga,4,8,41719576
sha256-fpga,4,8,41735101
sha256-fpga,4,8,75200095
sha256-fpga,4,8,109374391
sha256-fpga,4,8,75230816
sha256-fpga,4,8,137818332
sha256-fpga,4,8,172709371
sha256-fpga,4,8,140435370
sha256-fpga,4,8,144275540
sha256-fpga,4,8,247101251
sha256-fpga,4,8,107361750
sha256-fpga,4,8,272788920
sha256-fpga,4,8,42116072
sha256-fpga,4,8,172919360
sha256-fpga,4,8,211825650
sha256-fpga,4,8,205312079
sha256-fpga,4,8,206472649
sha256-fpga,4,8,271227274
sha256-fpga,4,8,176350544
sha256-fpga,4,8,242043957
sha256-fpga,4,8,239844010
sha256-fpga,4,8,239801788
sha256-fpga,4,8,207294937
sha256-fpga,4,8,138945817
sha256-fpga,4,9,73761043
sha256-fpga,4,9,106590647
sha256-fpga,4,9,43253899
sha256-fpga,4,9,42620473
sha256-fpga,4,9,42320842
sha256-fpga,4,9,42220523
sha256-fpga,4,9,244192448
sha256-fpga,4,9,103560198
sha256-fpga,4,9,277411002
sha256-fpga,4,9,106581614
