application,regions,batch,runtime_ns
sha256-fpga,1,1,873276782
sha256-fpga,1,1,527157319
sha256-fpga,1,1,113309066
sha256-fpga,1,1,561270531
sha256-fpga,1,1,1046964562
sha256-fpga,1,1,733654141
sha256-fpga,1,1,318072209
sha256-fpga,1,1,386637402
sha256-fpga,1,1,421088302
sha256-fpga,1,1,43826615
sha256-fpga,1,1,837201659
sha256-fpga,1,1,78329597
sha256-fpga,1,1,147972645
sha256-fpga,1,1,182660769
sha256-fpga,1,1,354250887
sha256-fpga,1,1,283303888
sha256-fpga,1,1,216434202
sha256-fpga,1,1,248314101
sha256-fpga,1,1,592112299
sha256-fpga,1,1,489352965
sha256-fpga,1,1,454743047
sha256-fpga,1,1,695695896
sha256-fpga,1,1,626311593
sha256-fpga,1,1,660559687
sha256-fpga,1,1,799851109
sha256-fpga,1,1,764800558
sha256-fpga,1,1,973653910
sha256-fpga,1,1,903615769
sha256-fpga,1,1,938443997
sha256-fpga,1,1,1008314277
sha256-fpga,1,2,599700715
sha256-fpga,1,2,739196160
sha256-fpga,1,2,251982867
sha256-fpga,1,2,668828179
sha256-fpga,1,2,217777893
sha256-fpga,1,2,912234133
sha256-fpga,1,2,876655139
sha256-fpga,1,2,114737697
sha256-fpga,1,2,286235414
sha256-fpga,1,2,773820896
sha256-fpga,1,2,323951221
sha256-fpga,1,2,79803669
sha256-fpga,1,2,44733012
sha256-fpga,1,2,389051665
sha256-fpga,1,2,1014155096
sha256-fpga,1,2,1050799470
sha256-fpga,1,2,148581296
sha256-fpga,1,2,183088427
sha256-fpga,1,2,459174402
sha256-fpga,1,2,525176493
sha256-fpga,1,2,491847610
sha256-fpga,1,2,353619374
sha256-fpga,1,2,422148735
sha256-fpga,1,2,698490705
sha256-fpga,1,2,629135739
sha256-fpga,1,2,802739835
sha256-fpga,1,2,837666937
sha256-fpga,1,2,559698931
sha256-fpga,1,2,942101792
sha256-fpga,1,2,976972376
sha256-fpga,1,3,220934453
sha256-fpga,1,3,394947549
sha256-fpga,1,3,324660407
sha256-fpga,1,3,879695340
sha256-fpga,1,3,914116665
sha256-fpga,1,3,949167477
sha256-fpga,1,3,1019374326
sha256-fpga,1,3,983472074
sha256-fpga,1,3,150257125
sha256-fpga,1,3,1053491225
sha256-fpga,1,3,254771589
sha256-fpga,1,3,497758784
sha256-fpga,1,3,463045378
sha256-fpga,1,3,46616409
sha256-fpga,1,3,116122647
sha256-fpga,1,3,80990179
sha256-fpga,1,3,185162922
sha256-fpga,1,3,600296595
sha256-fpga,1,3,289433112
sha256-fpga,1,3,358973625
sha256-fpga,1,3,668265488
sha256-fpga,1,3,565442638
sha256-fpga,1,3,427645594
sha256-fpga,1,3,530781615
sha256-fpga,1,3,702571431
sha256-fpga,1,3,634692778
sha256-fpga,1,3,736238562
sha256-fpga,1,3,770948920
sha256-fpga,1,3,805689215
sha256-fpga,1,3,840306660
sha256-fpga,1,4,46655151
sha256-fpga,1,4,81742347
sha256-fpga,1,4,883534504
sha256-fpga,1,4,116171673
sha256-fpga,1,4,951608524
sha256-fpga,1,4,917266400
sha256-fpga,1,4,708143811
sha256-fpga,1,4,742402312
sha256-fpga,1,4,253786638
sha256-fpga,1,4,982805398
sha256-fpga,1,4,322671201
sha256-fpga,1,4,184138140
sha256-fpga,1,4,461797655
sha256-fpga,1,4,357592090
sha256-fpga,1,4,531028502
sha256-fpga,1,4,496117811
sha256-fpga,1,4,149841956
sha256-fpga,1,4,392883894
sha256-fpga,1,4,669681482
sha256-fpga,1,4,599787840
sha256-fpga,1,4,218727709
sha256-fpga,1,4,287911803
sha256-fpga,1,4,773107793
sha256-fpga,1,4,807817685
sha256-fpga,1,4,564881070
sha256-fpga,1,4,1009984889
sha256-fpga,1,4,426535748
sha256-fpga,1,4,634424196
sha256-fpga,1,4,841871727
sha256-fpga,1,4,1044270374
sha256-fpga,1,5,46294171
sha256-fpga,1,5,809316838
sha256-fpga,1,5,740363100
sha256-fpga,1,5,981849422
sha256-fpga,1,5,183821602
sha256-fpga,1,5,218234123
sha256-fpga,1,5,945510076
sha256-fpga,1,5,911312647
sha256-fpga,1,5,320961131
sha256-fpga,1,5,286858101
sha256-fpga,1,5,355759937
sha256-fpga,1,5,600325827
sha256-fpga,1,5,80319301
sha256-fpga,1,5,494047915
sha256-fpga,1,5,114657155
sha256-fpga,1,5,148622954
sha256-fpga,1,5,527574404
sha256-fpga,1,5,630916957
sha256-fpga,1,5,251640131
sha256-fpga,1,5,1042388153
sha256-fpga,1,5,699432174
sha256-fpga,1,5,424659851
sha256-fpga,1,5,389764595
sha256-fpga,1,5,561591868
sha256-fpga,1,5,664290770
sha256-fpga,1,5,1009364796
sha256-fpga,1,5,458469093
sha256-fpga,1,5,871279913
sha256-fpga,1,5,767260204
sha256-fpga,1,5,836136839
sha256-fpga,1,6,45052611
sha256-fpga,1,6,536872749
sha256-fpga,1,6,852845368
sha256-fpga,1,6,78033072
sha256-fpga,1,6,112709896
sha256-fpga,1,6,147614421
sha256-fpga,1,6,640497358
sha256-fpga,1,6,1027149325
sha256-fpga,1,6,989153171
sha256-fpga,1,6,252228293
sha256-fpga,1,6,357287760
sha256-fpga,1,6,391949859
sha256-fpga,1,6,497737746
sha256-fpga,1,6,426676250
sha256-fpga,1,6,182251930
sha256-fpga,1,6,602073886
sha256-fpga,1,6,286479750
sha256-fpga,1,6,566860563
sha256-fpga,1,6,216589563
sha256-fpga,1,6,776717570
sha256-fpga,1,6,705718409
sha256-fpga,1,6,740872227
sha256-fpga,1,6,321299974
sha256-fpga,1,6,811491621
sha256-fpga,1,6,881347790
sha256-fpga,1,6,916470644
sha256-fpga,1,6,671310053
sha256-fpga,1,6,1050171165
sha256-fpga,1,6,951201876
sha256-fpga,1,6,461077064
sha256-fpga,1,7,80441316
sha256-fpga,1,7,45529751
sha256-fpga,1,7,114776548
sha256-fpga,1,7,150094169
sha256-fpga,1,7,184936867
