application,regions,batch,runtime_ns
sha256-fpga,2,7,141052302
sha256-fpga,2,7,417710181
sha256-fpga,2,7,485800328
sha256-fpga,2,7,520960300
sha256-fpga,2,7,453280325
sha256-fpga,2,7,487583787
sha256-fpga,2,7,243535809
sha256-fpga,2,7,242726233
sha256-fpga,2,7,348187792
sha256-fpga,2,7,381708231
sha256-fpga,2,7,516733394
sha256-fpga,2,8,106758024
sha256-fpga,2,8,72814433
sha256-fpga,2,8,111761304
sha256-fpga,2,8,39140518
sha256-fpga,2,8,176749563
sha256-fpga,2,8,75782092
sha256-fpga,2,8,42247687
sha256-fpga,2,8,172431017
sha256-fpga,2,8,210286074
sha256-fpga,2,8,238220756
sha256-fpga,2,8,137475116
sha256-fpga,2,8,205042986
sha256-fpga,2,8,244167812
sha256-fpga,2,8,272888069
sha256-fpga,2,8,140923522
sha256-fpga,2,8,341369948
sha256-fpga,2,8,313582022
sha256-fpga,2,8,306671420
sha256-fpga,2,8,348238861
sha256-fpga,2,8,408828178
sha256-fpga,2,8,374500004
sha256-fpga,2,8,381708519
sha256-fpga,2,8,416637343
sha256-fpga,2,8,442756388
sha256-fpga,2,8,477667334
sha256-fpga,2,8,486310747
sha256-fpga,2,8,451356155
sha256-fpga,2,8,510837978
sha256-fpga,2,8,277897635
sha256-fpga,2,8,519835106
sha256-fpga,2,9,41656931
sha256-fpga,2,9,139804684
sha256-fpga,2,9,112317657
sha256-fpga,2,9,41639560
sha256-fpga,2,9,75477751
sha256-fpga,2,9,110671419
sha256-fpga,2,9,207320049
sha256-fpga,2,9,207551497
sha256-fpga,2,9,74566731
sha256-fpga,2,9,241625555
sha256-fpga,2,9,142584464
sha256-fpga,2,9,172981637
sha256-fpga,2,9,241382596
sha256-fpga,2,9,275619694
sha256-fpga,2,9,172360851
sha256-fpga,2,9,275353129
sha256-fpga,2,9,309585821
sha256-fpga,2,9,343512315
sha256-fpga,2,9,344089392
sha256-fpga,2,9,378347027
sha256-fpga,2,9,447626381
sha256-fpga,2,9,447571244
sha256-fpga,2,9,481337446
sha256-fpga,2,9,481438711
sha256-fpga,2,9,412482501
sha256-fpga,2,9,377822329
sha256-fpga,2,9,517436610
sha256-fpga,2,9,308175960
sha256-fpga,2,9,516713252
sha256-fpga,2,9,411724855
sha256-fpga,2,10,77440350
sha256-fpga,2,10,41541573
sha256-fpga,2,10,42109336
sha256-fpga,2,10,145893311
sha256-fpga,2,10,144029885
sha256-fpga,2,10,179265240
sha256-fpga,2,10,76354732
sha256-fpga,2,10,209608906
sha256-fpga,2,10,110114333
sha256-fpga,2,10,109714815
sha256-fpga,2,10,175905725
sha256-fpga,2,10,243752110
sha256-fpga,2,10,313060507
sha256-fpga,2,10,208945700
sha256-fpga,2,10,243114764
sha256-fpga,2,10,312552077
sha256-fpga,2,10,347059772
sha256-fpga,2,10,347477986
sha256-fpga,2,10,278336002
sha256-fpga,2,10,416313401
sha256-fpga,2,10,381524615
sha256-fpga,2,10,380808353
sha256-fpga,2,10,450296615
sha256-fpga,2,10,416121467
sha256-fpga,2,10,485730633
sha256-fpga,2,10,450374966
sha256-fpga,2,10,519542893
sha256-fpga,2,10,276990614
sha256-fpga,2,10,519983942
sha256-fpga,2,10,484832136
sha256-fpga,2,11,146897831
sha256-fpga,2,11,181785440
sha256-fpga,2,11,355790694
sha256-fpga,2,11,112076498
sha256-fpga,2,11,352409017
sha256-fpga,2,11,43983500
sha256-fpga,2,11,79322161
sha256-fpga,2,11,180461262
sha256-fpga,2,11,215622893
sha256-fpga,2,11,44640402
sha256-fpga,2,11,520480102
sha256-fpga,2,11,491531581
sha256-fpga,2,11,78981510
sha256-fpga,2,11,211883561
sha256-fpga,2,11,246685672
sha256-fpga,2,11,113324427
sha256-fpga,2,11,147997004
sha256-fpga,2,11,280358671
sha256-fpga,2,11,282233400
sha256-fpga,2,11,316737411
sha256-fpga,2,11,247298369
sha256-fpga,2,11,313870594
sha256-fpga,2,11,382034850
sha256-fpga,2,11,416699717
sha256-fpga,2,11,451016844
sha256-fpga,2,11,419458319
sha256-fpga,2,11,484713014
sha256-fpga,2,11,454299127
sha256-fpga,2,11,385024039
sha256-fpga,2,11,521045141
sha256-fpga,2,12,109103071
sha256-fpga,2,12,284007703
